               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11184,            0.044946,            0.061687,                   0,                   0,                   0,                   0,             0.13082,            0.021768,            0.061462,              0.0973,              0.0003,              0.0003
                   1,             0.10918,            0.051234,            0.061861,                   0,                   0,                   0,                   0,             0.12923,             0.02157,             0.06102,            0.093686,          0.00068614,          0.00068614
                   2,             0.10783,            0.051285,             0.06037,                   0,                   0,                   0,                   0,               0.127,            0.021557,            0.060379,            0.090056,           0.0010564,           0.0010564
                   3,             0.11791,            0.046393,            0.064805,                   0,                   0,                   0,                   0,             0.12305,            0.021917,            0.059174,            0.086411,           0.0014109,           0.0014109
                   4,             0.10336,            0.053783,            0.057745,           0.0032287,               0.125,            0.010076,           0.0017151,             0.11763,            0.022776,            0.057587,             0.08275,           0.0017495,           0.0017495
                   5,             0.10884,            0.061019,            0.061896,            0.004918,               0.075,            0.011844,           0.0035684,             0.11419,            0.023258,             0.05658,            0.079072,           0.0020723,           0.0020723
                   6,             0.10901,            0.064812,            0.060807,           0.0081227,                0.25,            0.034289,            0.012222,             0.10603,            0.024342,            0.054123,            0.075379,           0.0023792,           0.0023792
                   7,             0.10358,            0.061002,            0.057232,            0.037281,                0.15,            0.074997,            0.025734,            0.099106,            0.024758,            0.051979,             0.07167,           0.0026703,           0.0026703
                   8,               0.102,            0.071164,            0.056782,             0.92254,                0.05,             0.10123,            0.037527,            0.093787,            0.024688,            0.049934,            0.067946,           0.0029456,           0.0029456
                   9,             0.10276,            0.073643,            0.055409,             0.89291,               0.125,             0.10957,            0.044871,            0.090068,            0.024321,            0.047699,            0.064205,            0.003205,            0.003205
                  10,             0.10032,            0.082259,            0.053858,             0.89214,             0.12839,             0.13217,            0.058671,            0.087457,            0.023804,            0.045334,            0.060449,           0.0034486,           0.0034486
                  11,            0.093456,            0.056166,            0.048314,             0.93066,               0.125,             0.14313,             0.05983,            0.085404,             0.02323,            0.042892,            0.056676,           0.0036763,           0.0036763
                  12,             0.09377,            0.061719,            0.047769,              0.9553,               0.125,             0.14397,            0.060174,            0.083058,             0.02299,            0.040955,            0.052888,           0.0038882,           0.0038882
                  13,            0.091157,            0.065677,             0.04455,                   1,             0.11849,             0.15285,            0.071383,            0.079951,             0.02308,            0.039207,            0.049084,           0.0040843,           0.0040843
                  14,            0.090037,            0.073388,            0.044818,             0.98952,                 0.1,             0.14002,            0.053459,            0.076713,            0.023218,            0.037445,            0.045265,           0.0042645,           0.0042645
                  15,            0.081357,            0.056144,            0.040295,             0.98952,                 0.1,             0.14002,            0.053459,            0.076713,            0.023218,            0.037445,            0.041429,           0.0044289,           0.0044289
                  16,            0.089249,            0.069421,            0.041092,             0.92749,                 0.1,             0.12339,            0.053656,            0.074063,            0.023365,            0.036156,            0.037577,           0.0045774,           0.0045774
                  17,            0.082596,            0.067427,            0.042388,              0.8834,             0.14343,             0.10582,            0.040114,            0.075266,            0.023344,            0.034813,             0.03371,           0.0047101,           0.0047101
                  18,            0.083454,            0.068182,            0.041794,              0.8834,             0.14343,             0.10582,            0.040114,            0.075266,            0.023344,            0.034813,            0.029827,            0.004827,            0.004827
                  19,            0.081466,            0.063353,            0.033796,             0.89866,               0.122,             0.11843,            0.053842,            0.073631,            0.023219,             0.03376,            0.025928,            0.004928,            0.004928
                  20,            0.072193,            0.059304,            0.035527,             0.86006,               0.175,            0.090709,            0.026611,            0.074728,            0.022435,            0.032635,            0.022013,           0.0050132,           0.0050132
                  21,            0.083747,            0.081544,            0.034884,             0.86006,               0.175,            0.090709,            0.026611,            0.074728,            0.022435,            0.032635,            0.018083,           0.0050825,           0.0050825
                  22,             0.08183,            0.062841,            0.034738,             0.85915,             0.16821,            0.094843,             0.02202,            0.071427,            0.021301,            0.031296,            0.014136,            0.005136,            0.005136
                  23,             0.07163,            0.061624,            0.031552,             0.85915,             0.16821,            0.094843,             0.02202,            0.071427,            0.021301,            0.031296,            0.010174,           0.0051737,           0.0051737
                  24,            0.084764,            0.058297,            0.031108,             0.87196,                 0.2,             0.11798,            0.049331,            0.068751,            0.019787,            0.030128,           0.0061955,           0.0051955,           0.0051955
                  25,            0.079023,            0.067976,            0.031989,             0.87196,                 0.2,             0.11798,            0.049331,            0.068751,            0.019787,            0.030128,             0.00505,             0.00505,             0.00505
                  26,            0.078627,            0.078622,             0.03061,             0.93764,               0.075,             0.16894,             0.07415,            0.067187,              0.0189,             0.02932,             0.00505,             0.00505,             0.00505
                  27,             0.06395,            0.043906,            0.027271,             0.93764,               0.075,             0.16894,             0.07415,            0.067187,              0.0189,             0.02932,            0.004852,            0.004852,            0.004852
                  28,            0.077474,            0.064734,            0.034068,             0.49376,                 0.3,             0.22783,            0.091835,            0.065703,            0.018731,            0.028751,            0.004654,            0.004654,            0.004654
                  29,            0.076644,            0.071249,            0.030645,             0.49376,                 0.3,             0.22783,            0.091835,            0.065703,            0.018731,            0.028751,            0.004456,            0.004456,            0.004456
                  30,            0.076735,              0.0637,            0.026157,             0.79056,                 0.3,             0.25638,            0.098432,            0.063232,            0.018616,            0.028088,            0.004258,            0.004258,            0.004258
                  31,            0.071392,              0.0743,            0.026526,             0.79056,                 0.3,             0.25638,            0.098432,            0.063232,            0.018616,            0.028088,             0.00406,             0.00406,             0.00406
                  32,            0.073101,            0.054531,            0.030257,             0.80676,               0.225,             0.24723,             0.10311,            0.062836,            0.018504,            0.027617,            0.003862,            0.003862,            0.003862
                  33,            0.076681,            0.057112,             0.02635,             0.80676,               0.225,             0.24723,             0.10311,            0.062836,            0.018504,            0.027617,            0.003664,            0.003664,            0.003664
                  34,            0.076123,            0.059892,            0.028217,             0.84299,               0.225,             0.25791,             0.12202,            0.060648,            0.018538,             0.02738,            0.003466,            0.003466,            0.003466
                  35,            0.073564,            0.074552,             0.02384,             0.84299,               0.225,             0.25791,             0.12202,            0.060648,            0.018538,             0.02738,            0.003268,            0.003268,            0.003268
                  36,             0.07244,            0.065946,            0.027967,                0.86,               0.225,             0.26677,              0.1637,            0.059766,            0.018474,            0.026636,             0.00307,             0.00307,             0.00307
                  37,            0.065753,             0.04342,            0.031082,                0.86,               0.225,             0.26677,              0.1637,            0.059766,            0.018474,            0.026636,            0.002872,            0.002872,            0.002872
                  38,            0.067233,            0.053773,            0.023092,             0.85194,               0.225,             0.24687,             0.14875,            0.058302,             0.01833,            0.026081,            0.002674,            0.002674,            0.002674
                  39,            0.058541,            0.051577,            0.020099,             0.85194,               0.225,             0.24687,             0.14875,            0.058302,             0.01833,            0.026081,            0.002476,            0.002476,            0.002476
                  40,            0.065653,            0.057118,            0.027921,             0.86941,               0.225,             0.29225,             0.20106,            0.055992,            0.018396,            0.025702,            0.002278,            0.002278,            0.002278
                  41,            0.058922,            0.054627,             0.02272,             0.86941,               0.225,             0.29225,             0.20106,            0.055992,            0.018396,            0.025702,             0.00208,             0.00208,             0.00208
                  42,            0.051965,            0.055384,            0.019085,             0.84897,                 0.3,             0.28512,             0.18614,            0.054126,            0.018387,            0.025314,            0.001882,            0.001882,            0.001882
                  43,            0.063871,            0.066039,            0.027513,             0.84897,                 0.3,             0.28512,             0.18614,            0.054126,            0.018387,            0.025314,            0.001684,            0.001684,            0.001684
                  44,            0.060361,            0.059167,            0.023984,             0.91407,             0.27013,             0.31888,             0.20954,            0.052981,            0.018471,            0.025091,            0.001486,            0.001486,            0.001486
                  45,            0.063084,            0.054116,            0.033468,             0.91407,             0.27013,             0.31888,             0.20954,            0.052981,            0.018471,            0.025091,            0.001288,            0.001288,            0.001288
                  46,            0.063526,            0.057018,             0.02534,             0.90631,             0.29171,             0.33279,             0.22894,            0.053177,            0.018343,            0.024771,             0.00109,             0.00109,             0.00109
                  47,            0.062451,            0.051823,            0.022157,             0.90631,             0.29171,             0.33279,             0.22894,            0.053177,            0.018343,            0.024771,            0.000892,            0.000892,            0.000892
                  48,             0.06497,             0.06354,            0.025775,             0.90008,             0.26931,             0.33539,             0.22765,            0.052719,            0.018298,            0.024624,            0.000694,            0.000694,            0.000694
                  49,            0.051601,            0.045775,            0.020945,             0.90008,             0.26931,             0.33539,             0.22765,            0.052719,            0.018298,            0.024624,            0.000496,            0.000496,            0.000496
